,id,epoch_second,problem_id,contest_id,user_id,language,point,length,result,execution_time
243,21973865,1619192569,abc087_b,abc087,aozorarb,C++ (GCC 9.2.1),0.0,348,WA,2205.0
244,21973900,1619192790,abc087_b,abc087,aozorarb,C++ (GCC 9.2.1),200.0,439,AC,5.0
245,21973931,1619192992,abc087_b,abc087,aozorarb,C++ (GCC 9.2.1),0.0,347,CE,
246,21973953,1619193045,abc087_b,abc087,aozorarb,C++ (GCC 9.2.1),0.0,286,TLE,2205.0
247,21973961,1619193139,abc087_b,abc087,aozorarb,C++ (GCC 9.2.1),0.0,312,TLE,2205.0
248,21973976,1619193261,abc087_b,abc087,aozorarb,C++ (GCC 9.2.1),0.0,307,TLE,2205.0
249,21974058,1619193722,abc087_b,abc087,aozorarb,C++ (GCC 9.2.1),0.0,324,TLE,2205.0
250,21974098,1619193941,abc087_b,abc087,aozorarb,C++ (GCC 9.2.1),200.0,311,AC,7.0
251,21974412,1619195777,abc100_a,abc100,aozorarb,C++ (GCC 9.2.1),0.0,141,WA,5.0
252,21974419,1619195866,abc100_a,abc100,aozorarb,C++ (GCC 9.2.1),0.0,149,WA,10.0
253,21974425,1619195909,abc100_a,abc100,aozorarb,C++ (GCC 9.2.1),0.0,147,WA,9.0
254,21974446,1619196023,abc100_a,abc100,aozorarb,C++ (GCC 9.2.1),0.0,160,WA,9.0
255,21974462,1619196114,abc100_a,abc100,aozorarb,C++ (GCC 9.2.1),0.0,158,WA,6.0
256,21974474,1619196178,abc100_a,abc100,aozorarb,C++ (GCC 9.2.1),100.0,158,AC,8.0
257,22012888,1619267165,abc199_a,abc199,aozorarb,C++ (GCC 9.2.1),0.0,190,WA,7.0
258,22013120,1619267200,abc199_a,abc199,aozorarb,C++ (GCC 9.2.1),100.0,190,AC,6.0
